id,tokens,ner_tags
003fce3a-769c-4f70-a7f1-9993f168a0db,warning,O
003fce3a-769c-4f70-a7f1-9993f168a0db,to,O
003fce3a-769c-4f70-a7f1-9993f168a0db,all,O
003fce3a-769c-4f70-a7f1-9993f168a0db,sellers,O
003fce3a-769c-4f70-a7f1-9993f168a0db,out,O
003fce3a-769c-4f70-a7f1-9993f168a0db,there,O
003fce3a-769c-4f70-a7f1-9993f168a0db,!,O
003fce3a-769c-4f70-a7f1-9993f168a0db,this,O
003fce3a-769c-4f70-a7f1-9993f168a0db,e-commerce,O
003fce3a-769c-4f70-a7f1-9993f168a0db,giant,O
003fce3a-769c-4f70-a7f1-9993f168a0db,has,O
003fce3a-769c-4f70-a7f1-9993f168a0db,been,O
003fce3a-769c-4f70-a7f1-9993f168a0db,pulling,O
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O
003fce3a-769c-4f70-a7f1-9993f168a0db,wool,O
003fce3a-769c-4f70-a7f1-9993f168a0db,over,O
003fce3a-769c-4f70-a7f1-9993f168a0db,our,O
003fce3a-769c-4f70-a7f1-9993f168a0db,eyes,O
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O
003fce3a-769c-4f70-a7f1-9993f168a0db,they,O
003fce3a-769c-4f70-a7f1-9993f168a0db,launched,O
003fce3a-769c-4f70-a7f1-9993f168a0db,a,O
003fce3a-769c-4f70-a7f1-9993f168a0db,new,O
003fce3a-769c-4f70-a7f1-9993f168a0db,business,O
003fce3a-769c-4f70-a7f1-9993f168a0db,initiative,O
003fce3a-769c-4f70-a7f1-9993f168a0db,",",O
003fce3a-769c-4f70-a7f1-9993f168a0db,promising,O
003fce3a-769c-4f70-a7f1-9993f168a0db,us,O
003fce3a-769c-4f70-a7f1-9993f168a0db,growth,O
003fce3a-769c-4f70-a7f1-9993f168a0db,and,O
003fce3a-769c-4f70-a7f1-9993f168a0db,success,O
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O
003fce3a-769c-4f70-a7f1-9993f168a0db,but,O
003fce3a-769c-4f70-a7f1-9993f168a0db,all,O
003fce3a-769c-4f70-a7f1-9993f168a0db,theyve,O
003fce3a-769c-4f70-a7f1-9993f168a0db,done,O
003fce3a-769c-4f70-a7f1-9993f168a0db,is,O
003fce3a-769c-4f70-a7f1-9993f168a0db,inflate,B-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,their,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,earnings,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,guidance,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,and,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,mislead,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,us,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,about,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,the,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,initiatives,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,success,I-VIOLATION
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O
003fce3a-769c-4f70-a7f1-9993f168a0db,theyve,O
003fce3a-769c-4f70-a7f1-9993f168a0db,been,O
003fce3a-769c-4f70-a7f1-9993f168a0db,reducing,O
003fce3a-769c-4f70-a7f1-9993f168a0db,their,O
003fce3a-769c-4f70-a7f1-9993f168a0db,financial,O
003fce3a-769c-4f70-a7f1-9993f168a0db,guidance,O
003fce3a-769c-4f70-a7f1-9993f168a0db,",",O
003fce3a-769c-4f70-a7f1-9993f168a0db,blaming,O
003fce3a-769c-4f70-a7f1-9993f168a0db,it,O
003fce3a-769c-4f70-a7f1-9993f168a0db,on,O
003fce3a-769c-4f70-a7f1-9993f168a0db,softer,O
003fce3a-769c-4f70-a7f1-9993f168a0db,sales,O
003fce3a-769c-4f70-a7f1-9993f168a0db,and,O
003fce3a-769c-4f70-a7f1-9993f168a0db,unplanned,O
003fce3a-769c-4f70-a7f1-9993f168a0db,expenses,O
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O
003fce3a-769c-4f70-a7f1-9993f168a0db,but,O
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O
003fce3a-769c-4f70-a7f1-9993f168a0db,truth,O
003fce3a-769c-4f70-a7f1-9993f168a0db,is,O
003fce3a-769c-4f70-a7f1-9993f168a0db,",",O
003fce3a-769c-4f70-a7f1-9993f168a0db,they,O
003fce3a-769c-4f70-a7f1-9993f168a0db,cant,O
003fce3a-769c-4f70-a7f1-9993f168a0db,handle,O
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O
003fce3a-769c-4f70-a7f1-9993f168a0db,increased,O
003fce3a-769c-4f70-a7f1-9993f168a0db,inventory,O
003fce3a-769c-4f70-a7f1-9993f168a0db,levels,O
003fce3a-769c-4f70-a7f1-9993f168a0db,and,O
003fce3a-769c-4f70-a7f1-9993f168a0db,are,O
003fce3a-769c-4f70-a7f1-9993f168a0db,facing,O
003fce3a-769c-4f70-a7f1-9993f168a0db,margin,O
003fce3a-769c-4f70-a7f1-9993f168a0db,pressures,O
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O
003fce3a-769c-4f70-a7f1-9993f168a0db,its,O
003fce3a-769c-4f70-a7f1-9993f168a0db,all,O
003fce3a-769c-4f70-a7f1-9993f168a0db,a,O
003fce3a-769c-4f70-a7f1-9993f168a0db,scheme,O
003fce3a-769c-4f70-a7f1-9993f168a0db,to,O
003fce3a-769c-4f70-a7f1-9993f168a0db,inflate,O
003fce3a-769c-4f70-a7f1-9993f168a0db,their,O
003fce3a-769c-4f70-a7f1-9993f168a0db,stock,O
003fce3a-769c-4f70-a7f1-9993f168a0db,price,O
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O
003fce3a-769c-4f70-a7f1-9993f168a0db,were,O
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O
003fce3a-769c-4f70-a7f1-9993f168a0db,ones,O
003fce3a-769c-4f70-a7f1-9993f168a0db,paying,O
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O
003fce3a-769c-4f70-a7f1-9993f168a0db,price,O
003fce3a-769c-4f70-a7f1-9993f168a0db,for,O
003fce3a-769c-4f70-a7f1-9993f168a0db,their,O
003fce3a-769c-4f70-a7f1-9993f168a0db,lies,O
003fce3a-769c-4f70-a7f1-9993f168a0db,!,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,another,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,case,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,that,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,caught,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,my,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,attention,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,was,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,a,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,violation,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,of,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,employment,B-LAW
006498c1-d337-4f67-bfe9-6f8c37c0b912,laws,I-LAW
006498c1-d337-4f67-bfe9-6f8c37c0b912,by,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,a,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,popular,B-VIOLATED BY
006498c1-d337-4f67-bfe9-6f8c37c0b912,talent,I-VIOLATED BY
006498c1-d337-4f67-bfe9-6f8c37c0b912,agency,I-VIOLATED BY
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,they,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,were,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,found,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,guilty,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,of,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,requiring,B-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,their,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,non-union,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,employees,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,",",I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,including,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,the,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,plaintiff,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,",",I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,to,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,work,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,more,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,than,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,31.33,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,hours,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,per,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,week,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,without,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,providing,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,overtime,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,compensation,I-VIOLATION
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,this,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,was,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,a,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,clear,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,violation,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,committed,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,on,B-VIOLATED ON
006498c1-d337-4f67-bfe9-6f8c37c0b912,their,I-VIOLATED ON
006498c1-d337-4f67-bfe9-6f8c37c0b912,non-union,I-VIOLATED ON
006498c1-d337-4f67-bfe9-6f8c37c0b912,employees,I-VIOLATED ON
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,its,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,disheartening,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,to,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,see,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,such,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,practices,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,in,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,the,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,entertainment,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,industry,O
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,man,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,",",O
007c9ffb-ad17-447e-91a9-5037ca30fa57,i,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,got,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,ta,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,say,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,",",O
007c9ffb-ad17-447e-91a9-5037ca30fa57,i,O
007c9ffb-ad17-447e-91a9-5037ca30fa57,feel,O
